	chief_start	chief_end	EditorId	IssnId
164	2015	2019	9641	222
165	2015	2019	11974	222
166	2015	2019	18992	222
167	2017	2019	346	90
168	2016	2019	540	90
169	2017	2019	2680	90
170	2017	2019	3057	90
171	2017	2019	4914	90
172	2017	2019	9482	90
173	2017	2019	12837	90
174	2017	2017	12886	90
175	2009	2011	373	373
176	2006	2006	403	403
177	2007	2009	15554	403
178	2007	2009	16788	403
179	2009	2009	410	154
180	2009	2009	1283	154
181	2009	2009	1559	154
182	2007	2014	1612	154
183	2009	2009	2592	154
184	2009	2009	6533	154
185	2015	2018	12021	154
186	2009	2009	13300	154
187	2011	2015	433	433
188	2016	2019	451	433
189	1997	2011	13330	433
190	1999	2011	13772	433
191	2011	2015	17990	433
192	2015	2019	18137	433
193	2000	2019	19046	433
194	2011	2019	435	368
195	2011	2019	890	368
196	2011	2019	1071	368
197	2011	2019	1389	368
198	2011	2019	1528	368
199	2011	2019	3091	368
200	2011	2019	3777	368
201	2011	2019	3825	368
202	2011	2019	3996	368
203	2011	2019	6594	368
204	2011	2019	7211	368
205	2011	2019	7629	368
206	2011	2019	9627	368
207	2011	2019	10273	368
208	2011	2019	10431	368
209	2011	2019	10948	368
210	1997	1997	11848	368
211	2011	2019	12187	368
212	2011	2019	12677	368
213	2011	2019	14737	368
214	2011	2019	15503	368
215	2011	2019	16650	368
216	2011	2019	16963	368
217	2011	2019	18130	368
218	2011	2019	18145	368
219	2011	2019	19671	368
220	2018	2018	444	444
221	2018	2018	1536	444
222	2018	2018	9293	444
223	2018	2018	9767	444
224	2018	2018	10817	444
225	2018	2018	13424	444
226	2018	2018	16194	444
227	2007	2009	448	153
228	2009	2009	1049	153
229	2006	2009	1104	153
230	2006	2009	1728	153
231	2009	2009	2193	153
232	2007	2009	2646	153
233	2006	2007	4737	153
234	2007	2009	5100	153
235	2006	2009	5604	153
236	2009	2009	7320	153
237	2006	2009	8556	153
238	2006	2009	9382	153
239	2006	2009	11333	153
240	2006	2009	11636	153
241	2006	2009	12470	153
242	2006	2008	13017	153
243	2006	2009	15030	153
244	2006	2009	16874	153
245	2007	2009	17492	153
246	2006	2009	18236	153
247	2008	2009	19406	153
248	2006	2009	19694	153
249	2018	2019	549	261
250	2016	2016	582	23
251	2016	2016	6518	23
252	2012	2017	7275	23
253	2016	2016	7979	23
254	2016	2016	9148	23
255	2016	2016	12536	23
256	2016	2016	12859	23
257	2016	2016	17521	23
258	2018	2018	648	648
259	2008	2015	16117	648
260	2015	2016	665	270
261	2006	2015	1127	270
262	2015	2016	7897	270
263	2015	2016	14659	270
264	2015	2016	14936	270
265	2015	2016	18939	270
266	1994	2018	19654	270
267	2014	2017	679	679
268	2014	2017	2295	679
269	2004	2016	12116	679
270	2014	2017	12400	679
271	2004	2017	14158	679
272	2014	2017	14820	679
273	2014	2015	15705	679
274	1991	1991	695	695
275	2013	2013	2445	695
276	2013	2013	3675	695
277	2013	2013	3835	695
278	2010	2013	5796	695
279	2013	2013	15536	695
280	1988	1989	752	380
281	1988	1989	15677	380
282	1989	1989	16412	380
283	1988	1988	17108	380
284	2013	2013	781	781
285	2013	2013	781	782
286	2010	2010	11810	782
287	2010	2010	15253	782
288	2012	2013	19277	782
289	1979	1985	788	496
290	2007	2007	16117	496
291	2013	2019	18949	496
292	2006	2008	856	856
293	2005	2008	16390	856
294	2013	2014	877	748
295	2016	2019	915	13
296	2013	2013	3037	13
297	2013	2013	4099	13
298	2013	2013	4627	13
299	2015	2018	4754	13
300	2013	2018	8600	13
301	2013	2013	8617	13
302	2013	2013	8651	13
303	2016	2019	9677	13
304	2013	2013	9822	13
305	2013	2013	9898	13
306	2016	2018	9968	13
307	2018	2019	10109	13
308	2016	2018	10171	13
309	2016	2019	10518	13
310	2013	2013	10599	13
311	2013	2013	10661	13
312	2013	2013	11553	13
313	2013	2013	13125	13
