EditorYear	EdiPercent	Cohort
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.8333333333333334	4
2	0.5	4
3	0.3333333333333333	4
4	0.4	4
5	0.42857142857142855	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.3333333333333333	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.75	4
1	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	0.6666666666666666	4
2	0.3333333333333333	4
3	0.5	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	0.6666666666666666	4
3	0.8	4
4	0.0	4
5	0.3333333333333333	4
1	0.0	4
2	0.0	4
3	0.8	4
4	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.5	4
3	1.0	4
4	1.0	4
5	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
0	0.0	4
1	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.8571428571428571	4
2	0.8	4
3	0.5	4
4	0.25	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	1.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
1	1.0	4
2	0.6	4
3	0.6	4
4	0.7142857142857143	4
5	1.0	4
1	0.0	4
2	1.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5263157894736842	4
2	0.6666666666666666	4
3	0.5	4
4	0.2857142857142857	4
5	0.7142857142857143	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
2	1.0	4
3	0.0	4
4	1.0	4
5	0.0	4
-4	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
1	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.5	4
-4	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	1.0	4
3	0.0	4
4	1.0	4
5	0.0	4
-4	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.6666666666666666	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.75	4
3	0.5	4
4	0.2857142857142857	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	1.0	4
2	1.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	0.0	4
2	0.0	4
3	0.5	4
4	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.3333333333333333	4
2	0.0	4
3	1.0	4
4	0.5	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
0	0.0	4
1	0.5	4
2	0.5	4
3	0.7142857142857143	4
4	0.0	4
5	1.0	4
1	1.0	4
1	1.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	1.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	1.0	4
5	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	1.0	4
4	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	1.0	4
0	0.0	4
1	0.0	4
2	0.6666666666666666	4
3	1.0	4
4	0.0	4
5	1.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.5	4
4	0.5	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.5714285714285714	4
3	1.0	4
4	0.4444444444444444	4
5	1.0	4
1	1.0	4
2	0.0	4
3	1.0	4
4	1.0	4
5	0.0	4
1	1.0	4
2	0.25	4
3	0.6666666666666666	4
4	0.0	4
5	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
-1	0.0	4
1	0.0	4
2	0.5	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	1.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
2	1.0	4
3	1.0	4
