EditorYear	EdiPercent	Cohort
3	0.0	4
4	0.5	4
5	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
-1	0.0	4
-5	0.0	4
-4	1.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.5	4
-4	0.0	4
-5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.3333333333333333	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.5	4
4	0.0	4
5	0.6666666666666666	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.5	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
0	1.0	4
1	0.6666666666666666	4
2	0.0	4
3	0.5714285714285714	4
4	0.5	4
5	0.3333333333333333	4
-4	1.0	4
-3	0.8333333333333334	4
-2	1.0	4
-1	1.0	4
0	1.0	4
1	0.7777777777777778	4
2	0.6153846153846154	4
3	0.7777777777777778	4
4	0.6111111111111112	4
5	0.6666666666666666	4
-5	1.0	4
0	0.0	4
1	0.5	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.5	4
3	0.0	4
4	0.0	4
5	1.0	4
-5	0.0	4
-4	0.3333333333333333	4
-3	0.0	4
-2	0.25	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.5	4
3	0.75	4
4	0.5	4
5	1.0	4
-5	0.4	4
-4	0.16666666666666666	4
-3	0.25	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.5	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	1.0	4
-2	1.0	4
-1	0.3333333333333333	4
0	0.0	4
1	0.3333333333333333	4
2	0.5	4
3	0.6666666666666666	4
4	1.0	4
5	1.0	4
-5	0.0	4
-4	0.25	4
-3	0.0	4
-2	0.0	4
-1	0.6666666666666666	4
0	0.6666666666666666	4
1	1.0	4
2	0.6666666666666666	4
3	0.6666666666666666	4
4	0.2	4
5	1.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.2	4
-1	0.3333333333333333	4
0	0.0	4
1	0.6666666666666666	4
2	0.4	4
3	0.5	4
4	0.14285714285714285	4
5	0.4	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.5	4
0	0.0	4
1	0.3333333333333333	4
2	1.0	4
0	0.0	4
1	0.6666666666666666	4
2	0.0	4
