EditorYear	PeerPercent	Cohort
2	0.08433734939759036	4
3	0.07954545454545454	4
4	0.054878048780487805	4
5	0.06578947368421052	4
-4	0.2857142857142857	4
-3	0.25	4
-2	0.125	4
-1	0.21428571428571427	4
0	0.2	4
1	0.6666666666666666	4
2	0.3333333333333333	4
3	0.5	4
4	0.75	4
5	0.6	4
-1	0.5	4
0	0.03333333333333333	4
1	0.1111111111111111	4
2	0.08333333333333333	4
3	0.07692307692307693	4
4	0.13636363636363635	4
5	0.3	4
0	0.07964601769911504	4
1	0.07246376811594203	4
2	0.10416666666666667	4
3	0.05555555555555555	4
