NewAuthorId	issn	Year0	left	right	BeforeCount	AfterCount	BeSpan	AfSpan	AfAvg	BeAvg
340768	0304422X	1992	1988	1997	2.0	0.0	5	5	0.0	0.4
341138	01762680	2003	1999	2005	1.0	1.0	5	2	0.5	0.2
345472	10956433	2013	2009	2018	8.0	1.0	5	5	0.2	1.6
348462	13891286	2011	2007	2013	2.0	1.0	5	2	0.5	0.4
355423	01471767	2011	2007	2016	1.0	1.0	5	5	0.2	0.2
355530	09666923	2010	2006	2011	3.0	1.0	5	1	1.0	0.6
357285	0888613X	2012	2008	2017	1.0	0.0	5	5	0.0	0.2
357583	0732118X	2006	2002	2011	1.0	1.0	5	5	0.2	0.2
357744	1466853X	2005	2001	2010	3.0	2.0	5	5	0.4	0.6
366987	10452354	2008	2004	2013	3.0	6.0	5	5	1.2	0.6
368333	00344257	2010	2006	2015	4.0	5.0	5	5	1.0	0.8
372258	03784266	2004	2000	2009	1.0	1.0	5	5	0.2	0.2
380378	15708268	2007	2003	2012	1.0	1.0	5	5	0.2	0.2
385687	03043975	2008	2004	2013	2.0	2.0	5	5	0.4	0.4
386535	00221996	1981	1977	1986	3.0	5.0	5	5	1.0	0.6
387274	00224596	2005	2001	2006	7.0	2.0	5	1	2.0	1.4
387274	09258388	2006	2002	2011	6.0	7.0	5	5	1.4	1.2
391027	0885064X	2009	2005	2014	3.0	0.0	5	5	0.0	0.6
395614	03778398	2012	2008	2017	4.0	2.0	5	5	0.4	0.8
397474	01403664	2008	2004	2009	1.0	0.0	5	1	0.0	0.2
398486	0742051X	1993	1989	1997	1.0	2.0	5	4	0.5	0.2
400633	10907807	2013	2009	2017	1.0	2.0	5	4	0.5	0.2
408638	01641212	2007	2003	2012	2.0	1.0	5	5	0.2	0.4
412700	03608352	1992	1988	1997	3.0	2.0	5	5	0.4	0.6
413794	00978493	2011	2007	2016	1.0	2.0	5	5	0.4	0.2
414246	02726386	2004	2000	2006	2.0	1.0	5	2	0.5	0.4
414509	01907409	2008	2004	2013	5.0	1.0	5	5	0.2	1.0
416128	01677187	2003	1999	2008	1.0	1.0	5	5	0.2	0.2
417187	15687864	2005	2001	2010	5.0	4.0	5	5	0.8	1.0
420651	01660462	2011	2007	2016	2.0	2.0	5	5	0.4	0.4
420671	14623889	2010	2007	2015	2.0	2.0	4	5	0.4	0.5
422113	00323861	2011	2007	2016	5.0	0.0	5	5	0.0	1.0
423489	09696997	2012	2008	2017	2.0	1.0	5	5	0.2	0.4
428896	1359835X	1996	1994	2001	3.0	9.0	3	5	1.8	1.0
429589	01681923	2007	2003	2012	2.0	7.0	5	5	1.4	0.4
429604	00043702	1988	1984	1990	1.0	0.0	5	2	0.0	0.2
430112	00283908	2005	2001	2008	1.0	3.0	5	3	1.0	0.2
430991	00224359	2005	2001	2010	2.0	2.0	5	5	0.4	0.4
435178	14784092	2007	2003	2012	1.0	1.0	5	5	0.2	0.2
436081	01762680	1990	1986	1994	1.0	0.0	5	4	0.0	0.2
