	original	normalized
333	editors in chief	editor in chief
334	chief advisors	chief advisors
335	editorial office manager	editorial office manager
336	book review editor	book review editor
337	members of advisory board	member of advisory board
338	executive associate editor	executive associate editor
339	past editors	past editor
340	editorial office staff	editorial office staff
341	assistant editorial secretary	assistant editorial secretary
342	international reviewing board	international reviewing board
343	associate editor in chief	associate editor in chief
344	technical assistants	technical assistants
345	production assistants	production assistants
346	special issues co-editor-in-chief and founding editor	special issues co editor in chief and founding editor
347	honorary chief editor	honorary chief editor
348	deputy chief editors	deputy chief editor
349	deputy managing editors	deputy managing editor
350	education editors	education editor
351	narrative oncology editor	narrative oncology editor
352	president of the egyptian society of rheumatic diseases	president of the egyptian society of rheumatic diseases
353	editorial board	editorial board
354	executive vice editor-in-chief	executive vice editor in chief
355	production editor	production editor
356	chief editorial board	chief editorial board
357	editorial technical office	editorial technical office
358	national scientific board	national scientific board
359	international scientific board	international scientific board
360	editor-in-chief/editor jefe	editor in chief/editor jefe
361	editor/editor	editor/editor
362	editorial board/consejo editorial	editorial board/consejo editorial
363	editor-in-chief / editor jefe	editor in chief / editor jefe
364	co-editors / editores adjuntos	co editor / editores adjuntos
365	junior co-editors / editores adjuntos juniors	junior co editor / editores adjuntos juniors
366	area editor / editor de área	area editor / editor de área
367	administrative secretary	administrative secretary
368	vice-editor-in-chief	vice editor in chief
369	executive assistant	executive assistant
370	technical assistant	technical assistant
371	executive editors	executive editor
372	editorial assistance	editorial assistance
373	associate editor in charge of statistics	associate editor in charge of statistics
374	editor-in-chief emeritus and founder	editor in chief emeritus and founder
375	editorial review panel	editorial review panel
376	editor-in-chief (2010-2013)	editor in chief (2010 2013)
377	editor-in-chief (2014-2016)	editor in chief (2014 2016)
378	vice editors-in-chief	vice editor in chief
379	president of cairo university	president of cairo university
380	vice president of cairo university for graduate studies and research	vice president of cairo university for graduate studies and research
381	editorial advisory board - pharmacy	editorial advisory board pharmacy
382	editorial advisory board - veterinary medicine	editorial advisory board veterinary medicine
383	editorial advisory board - agriculture	editorial advisory board agriculture
384	editorial advisory board - engineering	editorial advisory board engineering
385	editorial advisory board - medicine	editorial advisory board medicine
386	editorial advisory board - science	editorial advisory board science
387	editorial advisory board - physical therapy	editorial advisory board physical therapy
388	director of publication	director of publication
389	book review	book review
390	editor's choice	editor's choice
391	vice editor-in-chief	vice editor in chief
392	scientific editor	scientific editor
393	editorial supervisor	editorial supervisor
394	section editor – production engineering	section editor – production engineering
395	executive director	executive director
396	editors emeritus	editor emeritus
397	reviews editor	reviews editor
398	epidemics now section editor	epidemics now section editor
399	honorary consultant editor	honorary consultant editor
400	consultant editors	consultant editor
401	editorial secretary	editorial secretary
402	sofcot’s instructional course lectures editorial committee	sofcot’s instructional course lectures editorial committee
403	web editor	web editor
404	editora-chefe | editor-in-chief	editora chefe | editor in chief
405	coeditor | co-editor	coeditor | co editor
406	editores associados | associate editors	editores associados | associate editor
407	conselho editorial | editorial board	conselho editorial | editorial board
408	consultores internacionais | international advisory board	consultores internacionais | international advisory board
409	field editors	field editor
410	vice-chairmen	vice chairmen
411	section editor-in-chief for serious games	section editor in chief for serious games
412	section associate editors for serious games	associate editor
413	section editor-in-chief for entertainment robots	section editor in chief for entertainment robots
414	section associate editors for entertainment robots	associate editor
415	section editors for interactive television	section editor
416	book review editors	book review editor
417	honorary editorial board	honorary editorial board
418	co-editor	co editor
419	managing executive editor	managing executive editor
420	international advisory editors	international advisory editor
421	associate editors and scientific advisors	associate editor and scientific advisors
422	assistant editors and technical editorial staff	assistant editor and technical editorial staff
423	editorial board directors	editorial board directors
424	managing associate editors	managing associate editor
425	executive editorial advisory board	executive editorial advisory board
426	ex-officio (past) editor-in-chief	ex officio (past) editor in chief
427	international advisory commitee	international advisory commitee
428	associate editor tutorials	associate editor tutorials
429	associate editor webinars	associate editor webinars
430	chief editor's assistant	chief editor's assistant
431	review board	review board
432	director/editor-in-chief	director/editor in chief
433	editoras / editors	editoras / editor
434	ex-officio member	ex officio member
435	advisory member	advisory member
436	2018-2019 publications and editorial coordination committee	2018 2019 publications and editorial coordination committee
437	edtorial editor	edtorial editor
438	thematic editors	thematic editor
439	international adivsory board	international adivsory board
440	chairs	chairs
441	deputy editors-in-chief	deputy editor in chief
442	editorial members	editorial member
443	copy editor	copy editor
444	scientific editor (elsevier, cambridge, ma, usa)	scientific editor (elsevier, cambridge, ma, usa)
445	publication office staff	publication office staff
446	lab resources editors	lab resources editor
447	editor-in-chief/herausgeber	editor in chief/herausgeber
448	founding editor/gründungsherausgeber	founding editor/gründungsherausgeber
