	original	normalized
1370	deputy editor-in-chief	deputy editor in chief
1371	editorial specialist	editorial specialist
1372	past editors- and co-editors-in-chief	past editor and co editor in chief
1373	governing board	governing board
1374	phd students and postdocs - editorial board	phd students and postdocs editorial board
1375	coeditors-in-chief	coeditor in chief
1376	efas president	efas president
1377	associated editors	associated editor
1378	steering committee	steering committee
1379	editorial board social media	editorial board social media
1380	scientific commitee	scientific commitee
1381	editors for in the moment	editor for in the moment
1382	associate editors for perspectives	associate editor
1383	associate editor for systematic reviews	associate editor
1384	associate editor for association of pediatric program directors	associate editor
1385	* founding editors	* founding editor
1386	trainee editors	trainee editor
1387	production staff	production staff
1388	section editor - genetics	section editor genetics
1389	section editor - infectious disease	section editor infectious disease
1390	section editor - solid tumors	section editor solid tumors
1391	section editor - hematopathology	section editor hematopathology
1392	section editor - identity/hla	section editor identity/hla
1393	section editor - pharmacogenomics	section editor pharmacogenomics
1394	section editor - informatics	section editor informatics
1395	regional co-editors	regional co editor
1396	associate editor for clinical neuroimmunology	associate editor
1397	artificial intelligence and machine learning section editor	artificial intelligence and machine learning section editor
1398	cardiac imaging section editor	cardiac imaging section editor
1399	gastrointestinal imaging section and special issue editor	gastrointestinal imaging section and special issue editor
1400	genitourinary imaging section editor	genitourinary imaging section editor
1401	head and neck imaging section editor	head and neck imaging section editor
1402	hybrid imaging section editor	hybrid imaging section editor
1403	interventional radiology section editor	interventional radiology section editor
1404	musculoskeletal section editor	musculoskeletal section editor
1405	neuroradiology section editor	neuroradiology section editor
1406	nuclear medicine and oncology section editor	nuclear medicine and oncology section editor
1407	paediatric section editor	paediatric section editor
1408	women's imaging/breast imaging section editor	women's imaging/breast imaging section editor
1409	resident's journal review	resident's journal review
1410	american board of orthodontics	american board of orthodontics
1411	staff	staff
1412	international advisory board - commission representatives	international advisory board commission representatives
1413	section editor: cleft lip & palate and craniofacial anomalies	section editor: cleft lip & palate and craniofacial anomalies
1414	section editor: orthognathic surgery	section editor: orthognathic surgery
1415	section editor: cosmetic facial surgery	section editor: cosmetic facial surgery
1416	section editor: trauma	section editor: trauma
1417	section editor: tmj disorders	section editor: tmj disorders
1418	section editor: clinical pathology	section editor: clinical pathology
1419	section editor: pre-implant surgery/dental implants	section editor: pre implant surgery/dental implants
1420	section editor: oral surgery	section editor: oral surgery
1421	section editor: head and neck oncology	section editor: head and neck oncology
1422	section editor: reconstructive surgery	section editor: reconstructive surgery
1423	section editor: oral medicine/therapeutics	section editor: oral medicine/therapeutics
1424	section editor: research and emerging technologies	section editor: research and emerging technologies
1425	editor for the british isles	editor for the british isles
1426	editors-in-chief emeritus: founding editors	editor in chief emeritus: founding editor
1427	assistant editor for digital media	assistant editor for digital media
1428	societal guest editors	societal guest editor
1429	editorial analyst	editorial analyst
1430	column editors	column editor
1431	competition editor	competition editor
1432	other editorial board members	other editorial board member
1433	video and new media editor	video and new media editor
1434	editorial editors	editorial editor
1435	interactive associates	interactive associates
1436	global associates	global associates
1437	surgery in motion editor	surgery in motion editor
1438	medical oncology editor	medical oncology editor
1439	assistant digital media editor	assistant digital media editor
1440	words of wisdom editor	words of wisdom editor
1441	eau-ebu update series editor	eau ebu update series editor
1442	american geriatrics society section editor	american geriatrics society section editor
1443	image editor	image editor
1444	overseas editors	overseas editor
1445	review article	review article
1446	asc executive director	asc executive director
1447	senior editorial consultants	senior editorial consultants
1448	deputy editor and ‘midwifery education in practice’ section editor	deputy editor and ‘midwifery education in practice’ section editor
1449	section editors for urologic oncology (prostate & bladder)	section editor
1450	section editors for urologic oncology (kidney/adrenal/testis)	section editor
1451	section editors for endourology	section editor
1452	section editors for reconstructive surgery	section editor
1453	section editors for female urology/neuro urology	section editor
1454	section editors for benign prostatic hyperplasia	section editor
1455	section editors for transplant	section editor
1456	section editors for pediatric urology	section editor
1457	publishing staff	publishing staff
1458	aone contributing editor	aone contributing editor
1459	aone consulting editor	aone consulting editor
1460	section editor, supplements	section editor, supplements
1461	editor-in-chief emeritus	editor in chief emeritus
1462	reviews and special reports	reviews and special reports
1463	co-ordinating principal editor and library director	co ordinating principal editor and library director
1464	(editors-in-chief of related elsevier journals serving as aes of trip  ex officio.)	(editor in chief of related elsevier journals serving as aes of trip ex officio.)
1465	representatives of the council of the society and college of radiographers	representatives of the council of the society and college of radiographers
1466	the international board of editors	the international board of editor
1467	statistical adviser	statistical adviser
1468	expert advisers	expert advisers
1469	editorial board-reviewer	editorial board reviewer
1470	chair editor	chair editor
1471	associate editor for rehabilitation, physical therapy, clinical studies and exercise physiology	associate editor
1472	associate editor for motor learning, control and performance in clinical populations, technologies for rehabilitation and robot-aided rehabilitation	associate editor
1473	associate editor for emg methods, emg modelling, emg expert and signal processing	associate editor
1474	associate editor for sports science, motor control in exercise and neural control of movement	associate editor
1475	associate editor for orofacial physiology, mastication and reflexes	associate editor
1476	editorsin chief	editor in chief
