NewAuthorId	FirstYear
8481259	1989
8481536	2007
8497461	1970
8507519	2007
8516451	2004
8518613	1989
8532909	1995
8547689	1997
8558347	2007
8576556	1974
8579774	1977
8607863	1992
8647552	2004
8678334	2007
8684362	1998
8689452	1979
8694574	1978
8694989	2008
8718083	1980
8732389	2006
8760565	1997
8772102	1999
8780462	1979
8781827	1988
8800888	1973
8813087	1997
8834202	1976
8854962	1982
8866067	1988
8867576	1969
8894834	2003
8930240	1984
8942970	1976
8943103	2003
8948668	1983
8970729	1991
8981639	1999
9002816	1976
9017762	1977
9022159	1993
9024366	1988
9036870	1968
9038248	1998
9074503	2005
9079848	1968
9088008	2002
9092606	1978
9147578	1992
9157048	1990
9180821	1989
9187841	1995
9199454	1997
9205154	1998
9220034	1990
9240704	1997
9257954	1995
9285872	1981
9302605	1981
9313165	1976
9313646	2002
9313684	2002
9316258	2005
9336917	1995
9338416	1995
9362435	2009
9382879	1978
9391789	1998
9400859	1994
9408829	1993
9419639	1977
9454617	1991
9470666	2001
9474323	1967
9480810	1994
9489070	1994
9519466	1987
9529052	1989
9537268	1992
9541016	1988
9556000	1993
9559064	2002
9592531	1980
9619349	1980
9623237	1998
9630783	1971
9646590	1984
9652838	1976
9658954	1974
9678285	1995
9723528	1977
9731455	2009
9744361	2000
9748938	1997
9750173	1976
9760465	2003
9795252	2005
9810473	1973
9856817	2008
9864151	1912
9873026	2001
9887830	1999
9914460	1990
9924049	2004
9939507	1995
9949490	1994
9954122	1990
9954251	1975
9965767	1995
9968678	1996
9972096	2008
9980943	1997
9989978	1994
9993377	1994
10016449	1995
10035984	1994
10037283	1974
10041549	2001
10042921	1989
10059583	1976
10096002	1976
10129313	2000
10129623	2006
10144794	1992
10151893	2004
10159742	2008
10162053	1979
10168440	1987
10178158	1968
10182287	2004
10184687	1980
10185168	1985
10186134	2000
10188887	2006
10234360	1993
10259900	2005
10260994	1981
10268059	1999
10286614	1994
10306679	2007
10362245	1970
10378735	1978
10378891	1973
10381134	1968
10387550	1981
10393227	1975
10405499	1992
10413965	2004
10427660	1990
10430369	1988
10435798	1970
10454101	2009
10467483	2000
10477175	1989
10492111	1985
10511526	2013
10511787	1992
10529574	1974
10538551	1998
10548253	1998
10576591	2000
10593395	1983
10595362	1980
10610491	1978
10634372	2010
10654937	1991
10677091	1999
10693750	2001
10705117	2006
10707338	2009
10776467	2004
10779509	1975
10797418	1993
10805200	1995
10831765	2001
10833617	2004
10890152	1974
10891181	2002
10915893	1975
10916018	1973
10921363	2001
10922441	2002
10924941	2001
10935262	2008
10942521	1991
10961939	1994
10979319	1970
10991668	1988
10994176	1980
10999957	1995
11002008	1989
11003639	2013
