NewAuthorId	Yfp	Ylp	Parent
9559064	2002	2011	86803240
9592531	1980	1980	86803240
9619349	1980	2000	86803240
9623237	1998	2018	15744967
9630783	1971	1985	127413603
9646590	1976	2002	71924100
9652838	1976	1976	121332964
9658954	1974	1999	127413603
9678285	1995	1996	71924100
9723528	1977	2018	86803240
9731455	2009	2010	185592680
9744361	1996	2001	86803240
9748938	1997	2011	127413603
9750173	1976	1976	86803240
9760465	2003	2004	121332964
9795252	2001	2015	71924100
9810473	1973	2018	127413603
9856817	2008	2018	121332964
9864151	1912	1926	15744967
9873026	2001	2008	121332964
9887830	1975	2018	86803240
9914460	1985	2009	71924100
9924049	2004	2013	86803240
9939507	1995	2018	185592680
9949490	1994	1996	121332964
9954122	1990	2018	71924100
9954251	1973	1975	71924100
9965767	1995	1995	41008148
9968678	1995	2006	144024400
9972096	2008	2014	121332964
9980943	1997	1997	17744445
9989978	1993	2018	86803240
9993377	1991	2003	185592680
10016449	1993	2018	33923547
10035984	1994	1994	121332964
10037283	1974	2004	185592680
10041549	2000	2002	86803240
10042921	1988	1992	185592680
10059583	1976	2013	185592680
10096002	1976	1976	41008148
10129313	2000	2016	127413603
10129623	2004	2007	71924100
10144794	1992	1992	86803240
10151893	2004	2008	71924100
10159742	2008	2014	71924100
10162053	1979	1979	86803240
10168440	1985	1994	71924100
10178158	1967	2004	121332964
10182287	2004	2007	162324750
10184687	1979	2016	185592680
10185168	1985	2003	185592680
10186134	2000	2011	41008148
10188887	1997	2018	127313418
10234360	1993	2018	138885662
10259900	2002	2018	185592680
10260994	1976	2015	71924100
10268059	1994	2013	86803240
10286614	1994	1995	41008148
10306679	2007	2014	121332964
10362245	1970	1970	71924100
10378735	1968	1986	15744967
10378891	1973	1975	71924100
10381134	1967	1968	71924100
10387550	1975	1983	15744967
10393227	1969	2003	185592680
10405499	1992	2017	17744445
10413965	2003	2004	121332964
10427660	1990	1993	86803240
10430369	1988	1994	33923547
10435798	1968	1976	86803240
10454101	2009	2012	71924100
10467483	1998	2005	71924100
10477175	1989	1989	162324750
10492111	1985	1988	41008148
10511526	2007	2018	71924100
10511787	1992	2000	86803240
10529574	1974	2018	71924100
10538551	1996	1998	121332964
10548253	1995	2018	185592680
10576591	2000	2004	71924100
10593395	1983	1983	71924100
10595362	1978	1982	71924100
10610491	1978	1987	86803240
10634372	2003	2013	71924100
10654937	1991	1996	127413603
10677091	1998	2007	86803240
10693750	2001	2017	86803240
10705117	1999	2018	86803240
10707338	2009	2015	86803240
10776467	2004	2005	121332964
10779509	1975	1982	185592680
10797418	1993	2011	162324750
10805200	1995	1998	127413603
10831765	2001	2001	127413603
10833617	2003	2018	185592680
10890152	1971	1986	86803240
10891181	1993	2009	185592680
10915893	1974	1979	86803240
10916018	1973	1974	15744967
10921363	1998	2006	121332964
10922441	2002	2010	71924100
10924941	1998	2018	71924100
10935262	2008	2008	86803240
10942521	1991	2017	33923547
10961939	1994	2011	86803240
10979319	1970	1972	185592680
10991668	1988	2011	86803240
10994176	1977	2018	86803240
10999957	1995	1995	41008148
11002008	1989	2018	192562407
11003639	2000	2018	71924100
11011362	1998	2005	41008148
11013904	1999	2000	121332964
11019094	1977	1977	15744967
11028697	1991	2018	71924100
11039161	2009	2013	185592680
11049502	1995	1995	185592680
11053518	1995	1996	41008148
11058734	1995	2017	86803240
11060422	1992	1992	86803240
11066736	1981	1988	121332964
11082489	1997	2018	86803240
11113675	1993	2017	86803240
11115312	1999	2018	86803240
11116843	1988	2005	71924100
11136505	1990	2018	121332964
11149638	2000	2001	185592680
11159927	2005	2018	86803240
11169202	1994	2009	142362112
11171066	1994	2013	71924100
11173584	2002	2002	41008148
11178464	1985	1985	138885662
11187540	2002	2016	86803240
11188690	1964	2008	15744967
